prefix,vendor,source,confidence,alt_sources,alt_vendors
001C6E,"Newbury Networks, Inc.",ieee,1.0,"wireshark,nmap",NewburyNetwo | Newbury Networks
001C6F,Emfit Ltd,ieee,1.0,"wireshark,nmap",Emfit | Emfit
001C70,NOVACOMM LTDA,ieee,1.0,"wireshark,nmap",NovacommLtda | Novacomm Ltda
001C71,Emergent Electronics,ieee,1.0,"wireshark,nmap",EmergentElec | Emergent Electronics
001C72,Mayer & Cie GmbH & Co KG,ieee,1.0,"wireshark,nmap",MayerCie | Mayer & Cie GmbH & KG
001C73,Arista Networks,ieee,1.0,"wireshark,nmap",AristaNetwor | Arista Networks
001C74,Syswan Technologies Inc.,ieee,1.0,"wireshark,nmap",SyswanTechno | Syswan Technologies
001C75,Segnet Ltd.,ieee,1.0,"wireshark,nmap",Segnet | Segnet
001C76,The Wandsworth Group Ltd,ieee,1.0,"wireshark,nmap",WandsworthGr | The Wandsworth Group
001C77,Prodys,ieee,1.0,"wireshark,nmap",Prodys | Prodys
001C78,WYPLAY SAS,ieee,1.0,"wireshark,nmap",WyplaySas | Wyplay SAS
001C79,Cohesive Financial Technologies LLC,ieee,1.0,"wireshark,nmap",CohesiveFina | Cohesive Financial Technologies
001C7A,Perfectone Netware Company Ltd,ieee,1.0,"wireshark,nmap",PerfectoneNe | Perfectone Netware Company
001C7B,Castlenet Technology Inc.,ieee,1.0,"wireshark,nmap",CastlenetTec | Castlenet Technology
001C7C,PERQ SYSTEMS CORPORATION,ieee,1.0,"wireshark,nmap",Perq | Perq Systems
001C7D,Excelpoint Manufacturing Pte Ltd,ieee,1.0,"wireshark,nmap",ExcelpointMa | Excelpoint Manufacturing Pte
